u1,u2
0.994,0
0.993942,-0.00121616
0.993771,-0.00241072
0.9935,-0.00356568
0.993142,-0.00466874
0.992716,-0.00571323
0.992236,-0.00669742
0.991716,-0.00762298
0.991167,-0.00849348
0.990597,-0.0093132
0.990011,-0.0100865
0.989415,-0.0108176
0.988811,-0.0115104
0.988204,-0.0121685
0.987595,-0.0127951
0.986985,-0.013393
0.986376,-0.0139649
0.985768,-0.014513
0.985162,-0.0150393
0.984559,-0.0155455
0.98396,-0.0160331
0.983363,-0.0165037
0.98277,-0.0169584
0.98218,-0.0173983
0.981594,-0.0178245
0.981011,-0.0182378
0.980433,-0.018639
0.979857,-0.019029
0.979286,-0.0194083
0.978718,-0.0197776
0.978154,-0.0201374
0.977593,-0.0204882
0.977035,-0.0208305
0.976481,-0.0211647
0.975931,-0.0214912
0.975383,-0.0218104
0.974839,-0.0221226
0.974298,-0.0224281
0.973759,-0.0227273
0.973224,-0.0230203
0.972692,-0.0233075
0.972163,-0.023589
0.971636,-0.0238651
0.971112,-0.024136
0.970591,-0.0244019
0.970072,-0.024663
0.969556,-0.0249194
0.969042,-0.0251713
0.968531,-0.0254188
0.968023,-0.0256621
0.967516,-0.0259014
0.967012,-0.0261367
0.96651,-0.0263682
0.96601,-0.0265959
0.965513,-0.0268201
0.965017,-0.0270408
0.964524,-0.027258
0.964033,-0.0274719
0.963543,-0.0276827
0.963056,-0.0278902
0.96257,-0.0280947
0.962087,-0.0282963
0.961605,-0.0284949
0.961125,-0.0286907
0.960646,-0.0288837
0.96017,-0.029074
0.959695,-0.0292617
0.959222,-0.0294468
0.95875,-0.0296293
0.95828,-0.0298094
0.957812,-0.0299871
0.957345,-0.0301624
0.956879,-0.0303353
0.956416,-0.030506
0.955953,-0.0306745
0.955492,-0.0308408
0.955033,-0.0310049
0.954575,-0.0311669
0.954118,-0.0313269
0.953662,-0.0314848
0.953208,-0.0316407
0.952756,-0.0317947
0.952304,-0.0319467
0.951854,-0.0320969
0.951405,-0.0322452
0.950957,-0.0323916
0.950511,-0.0325363
0.950065,-0.0326792
0.949621,-0.0328203
0.949178,-0.0329597
0.948736,-0.0330974
0.948295,-0.0332335
0.947856,-0.0333679
0.947417,-0.0335007
0.946979,-0.0336319
0.946543,-0.0337615
0.946107,-0.0338895
0.945673,-0.0340161
0.94524,-0.0341411
0.944807,-0.0342646
0.944376,-0.0343867
0.943945,-0.0345073
0.943516,-0.0346265
0.943087,-0.0347442
0.94266,-0.0348606
0.942233,-0.0349756
0.941807,-0.0350892
0.941382,-0.0352014
0.940958,-0.0353124
0.940535,-0.035422
0.940113,-0.0355303
0.939691,-0.0356373
0.939271,-0.035743
0.938851,-0.0358475
0.938432,-0.0359508
0.938014,-0.0360528
0.937597,-0.0361535
0.93718,-0.0362531
0.936764,-0.0363515
0.936349,-0.0364487
0.935935,-0.0365447
0.935522,-0.0366395
0.935109,-0.0367332
0.934697,-0.0368258
0.934286,-0.0369172
0.933875,-0.0370076
0.933465,-0.0370968
0.933056,-0.0371849
0.932648,-0.0372719
0.93224,-0.0373579
0.931833,-0.0374427
0.931426,-0.0375266
0.931021,-0.0376093
0.930615,-0.0376911
0.930211,-0.0377718
0.929807,-0.0378514
0.929404,-0.0379301
0.929001,-0.0380078
0.928599,-0.0380844
0.928198,-0.0381601
0.927797,-0.0382347
0.927397,-0.0383084
0.926998,-0.0383812
0.926599,-0.0384529
0.9262,-0.0385238
0.925803,-0.0385936
0.925405,-0.0386626
0.925009,-0.0387306
0.924613,-0.0387976
0.924217,-0.0388638
0.923822,-0.038929
0.923428,-0.0389933
0.923034,-0.0390567
0.92264,-0.0391193
0.922248,-0.0391809
0.921855,-0.0392417
0.921464,-0.0393015
0.921072,-0.0393606
0.920681,-0.0394187
0.920291,-0.039476
0.919901,-0.0395324
0.919512,-0.039588
0.919123,-0.0396427
0.918735,-0.0396966
0.918347,-0.0397496
0.91796,-0.0398018
0.917573,-0.0398532
0.917186,-0.0399038
0.9168,-0.0399535
0.916415,-0.0400025
0.91603,-0.0400506
0.915645,-0.040098
0.915261,-0.0401445
0.914877,-0.0401902
0.914494,-0.0402352
0.914111,-0.0402794
0.913728,-0.0403227
0.913346,-0.0403654
0.912965,-0.0404072
0.912584,-0.0404483
0.912203,-0.0404886
0.911822,-0.0405281
0.911443,-0.0405669
0.911063,-0.0406049
0.910684,-0.0406422
0.910305,-0.0406788
0.909927,-0.0407145
0.909549,-0.0407496
0.909171,-0.0407839
0.908794,-0.0408175
0.908417,-0.0408504
0.908041,-0.0408825
0.907664,-0.0409139
0.907289,-0.0409446
0.906913,-0.0409746
0.906538,-0.0410038
0.906164,-0.0410324
0.905789,-0.0410602
0.905416,-0.0410874
0.905042,-0.0411138
0.904669,-0.0411396
0.904296,-0.0411646
0.903923,-0.041189
0.903551,-0.0412126
0.903179,-0.0412356
0.902808,-0.0412579
0.902437,-0.0412795
0.902066,-0.0413005
0.901695,-0.0413208
0.901325,-0.0413403
0.900955,-0.0413593
0.900586,-0.0413775
0.900216,-0.0413951
0.899847,-0.041412
0.899479,-0.0414283
0.89911,-0.0414439
0.898742,-0.0414589
0.898375,-0.0414732
0.898007,-0.0414868
0.89764,-0.0414998
0.897273,-0.0415122
0.896907,-0.0415239
0.896541,-0.041535
0.896175,-0.0415454
0.895809,-0.0415552
0.895444,-0.0415644
0.895079,-0.0415729
0.894714,-0.0415808
0.894349,-0.0415881
0.893985,-0.0415947
0.893621,-0.0416007
0.893258,-0.0416061
0.892894,-0.0416109
0.892531,-0.041615
0.892168,-0.0416186
0.891806,-0.0416215
0.891443,-0.0416238
0.891081,-0.0416255
0.890719,-0.0416266
0.890358,-0.0416271
0.889996,-0.041627
0.889635,-0.0416262
0.889275,-0.0416249
0.888914,-0.041623
0.888554,-0.0416204
0.888194,-0.0416173
0.887834,-0.0416136
0.887474,-0.0416093
0.887115,-0.0416044
0.886756,-0.0415989
0.886397,-0.0415928
0.886038,-0.0415861
0.88568,-0.0415789
0.885322,-0.041571
0.884964,-0.0415626
0.884606,-0.0415536
0.884249,-0.041544
0.883892,-0.0415338
0.883535,-0.0415231
0.883178,-0.0415118
0.882821,-0.0414999
0.882465,-0.0414874
0.882109,-0.0414744
0.881753,-0.0414608
0.881397,-0.0414466
0.881042,-0.0414319
0.880686,-0.0414166
0.880331,-0.0414007
0.879976,-0.0413843
0.879622,-0.0413673
0.879267,-0.0413498
0.878913,-0.0413317
0.878559,-0.041313
0.878205,-0.0412938
0.877852,-0.041274
0.877498,-0.0412537
0.877145,-0.0412328
0.876792,-0.0412114
0.876439,-0.0411894
0.876086,-0.0411669
0.875734,-0.0411438
0.875382,-0.0411202
0.87503,-0.041096
0.874678,-0.0410713
0.874326,-0.041046
0.873974,-0.0410202
0.873623,-0.0409939
0.873272,-0.040967
0.872921,-0.0409396
0.87257,-0.0409117
0.87222,-0.0408832
0.871869,-0.0408542
0.871519,-0.0408246
0.871169,-0.0407945
0.870819,-0.0407639
0.870469,-0.0407327
0.87012,-0.0407011
0.86977,-0.0406689
0.869421,-0.0406361
0.869072,-0.0406029
0.868723,-0.0405691
0.868374,-0.0405347
0.868026,-0.0404999
0.867677,-0.0404645
0.867329,-0.0404287
0.866981,-0.0403923
0.866633,-0.0403553
0.866285,-0.0403179
0.865938,-0.0402799
0.86559,-0.0402414
0.865243,-0.0402024
0.864896,-0.0401629
0.864549,-0.0401229
0.864202,-0.0400824
0.863856,-0.0400413
0.863509,-0.0399997
0.863163,-0.0399577
0.862816,-0.0399151
0.86247,-0.039872
0.862124,-0.0398284
0.861779,-0.0397843
0.861433,-0.0397396
0.861088,-0.0396945
0.860742,-0.0396489
0.860397,-0.0396027
0.860052,-0.0395561
0.859707,-0.0395089
0.859362,-0.0394613
0.859018,-0.0394131
0.858673,-0.0393645
0.858329,-0.0393153
0.857985,-0.0392657
0.85764,-0.0392155
0.857296,-0.0391649
0.856953,-0.0391138
0.856609,-0.0390621
0.856265,-0.03901
0.855922,-0.0389573
0.855579,-0.0389042
0.855235,-0.0388506
0.854892,-0.0387965
0.854549,-0.0387419
0.854207,-0.0386868
0.853864,-0.0386312
0.853521,-0.0385751
0.853179,-0.0385186
0.852837,-0.0384615
0.852494,-0.038404
0.852152,-0.0383459
0.85181,-0.0382874
0.851469,-0.0382284
0.851127,-0.0381689
0.850785,-0.0381089
0.850444,-0.0380485
0.850102,-0.0379875
0.849761,-0.0379261
0.84942,-0.0378642
0.849079,-0.0378018
0.848738,-0.037739
0.848397,-0.0376756
0.848056,-0.0376118
0.847716,-0.0375475
0.847375,-0.0374827
0.847035,-0.0374174
0.846695,-0.0373516
0.846355,-0.0372854
0.846015,-0.0372187
0.845675,-0.0371515
0.845335,-0.0370839
0.844995,-0.0370158
0.844655,-0.0369472
0.844316,-0.0368781
0.843976,-0.0368085
0.843637,-0.0367385
0.843298,-0.036668
0.842959,-0.0365971
0.84262,-0.0365256
0.842281,-0.0364537
0.841942,-0.0363813
0.841603,-0.0363085
0.841264,-0.0362352
0.840926,-0.0361614
0.840587,-0.0360871
0.840249,-0.0360124
0.839911,-0.0359372
0.839573,-0.0358615
0.839234,-0.0357854
0.838896,-0.0357088
0.838558,-0.0356318
0.838221,-0.0355543
0.837883,-0.0354763
0.837545,-0.0353978
0.837208,-0.0353189
0.83687,-0.0352396
0.836533,-0.0351597
0.836195,-0.0350794
0.835858,-0.0349987
0.835521,-0.0349174
0.835184,-0.0348358
0.834847,-0.0347536
0.83451,-0.034671
0.834173,-0.0345879
0.833837,-0.0345044
0.8335,-0.0344205
0.833163,-0.034336
0.832827,-0.0342511
0.83249,-0.0341658
0.832154,-0.03408
0.831818,-0.0339937
0.831482,-0.033907
0.831145,-0.0338198
0.830809,-0.0337322
0.830473,-0.0336441
0.830138,-0.0335555
0.829802,-0.0334665
0.829466,-0.0333771
0.82913,-0.0332872
0.828795,-0.0331968
0.828459,-0.033106
0.828124,-0.0330148
0.827788,-0.032923
0.827453,-0.0328309
0.827118,-0.0327383
0.826782,-0.0326452
0.826447,-0.0325517
0.826112,-0.0324577
0.825777,-0.0323633
0.825442,-0.0322684
0.825107,-0.0321731
0.824773,-0.0320774
0.824438,-0.0319812
0.824103,-0.0318845
0.823768,-0.0317874
0.823434,-0.0316899
0.823099,-0.0315919
0.822765,-0.0314934
0.822431,-0.0313945
0.822096,-0.0312952
0.821762,-0.0311954
0.821428,-0.0310952
0.821094,-0.0309945
0.82076,-0.0308934
0.820426,-0.0307918
0.820092,-0.0306898
0.819758,-0.0305874
0.819424,-0.0304845
0.81909,-0.0303811
0.818756,-0.0302774
0.818422,-0.0301732
0.818089,-0.0300685
0.817755,-0.0299634
0.817422,-0.0298578
0.817088,-0.0297519
0.816755,-0.0296454
0.816421,-0.0295386
0.816088,-0.0294313
0.815755,-0.0293235
0.815421,-0.0292153
0.815088,-0.0291067
0.814755,-0.0289977
0.814422,-0.0288882
0.814089,-0.0287782
0.813756,-0.0286678
0.813423,-0.028557
0.81309,-0.0284458
0.812757,-0.0283341
0.812424,-0.028222
0.812091,-0.0281094
0.811759,-0.0279964
0.811426,-0.027883
0.811093,-0.0277691
0.810761,-0.0276548
0.810428,-0.02754
0.810095,-0.0274249
0.809763,-0.0273093
0.80943,-0.0271932
0.809098,-0.0270767
0.808766,-0.0269598
0.808433,-0.0268425
0.808101,-0.0267247
0.807769,-0.0266065
0.807436,-0.0264878
0.807104,-0.0263687
0.806772,-0.0262492
0.80644,-0.0261293
0.806108,-0.0260089
0.805776,-0.0258881
0.805444,-0.0257669
0.805112,-0.0256452
0.80478,-0.0255231
0.804448,-0.0254006
0.804116,-0.0252776
0.803784,-0.0251542
0.803452,-0.0250304
0.80312,-0.0249061
0.802788,-0.0247814
0.802457,-0.0246563
0.802125,-0.0245308
0.801793,-0.0244048
0.801461,-0.0242784
0.80113,-0.0241516
0.800798,-0.0240243
0.800466,-0.0238966
0.800135,-0.0237685
0.799803,-0.02364
0.799472,-0.023511
0.79914,-0.0233816
0.798809,-0.0232518
0.798477,-0.0231215
0.798146,-0.0229909
0.797815,-0.0228598
0.797483,-0.0227282
0.797152,-0.0225963
0.79682,-0.0224639
0.796489,-0.0223311
0.796158,-0.0221979
0.795826,-0.0220642
0.795495,-0.0219301
0.795164,-0.0217956
0.794833,-0.0216607
0.794501,-0.0215254
0.79417,-0.0213896
0.793839,-0.0212534
0.793508,-0.0211167
0.793177,-0.0209797
0.792846,-0.0208422
0.792514,-0.0207043
0.792183,-0.020566
0.791852,-0.0204273
0.791521,-0.0202881
0.79119,-0.0201485
0.790859,-0.0200085
0.790528,-0.0198681
0.790197,-0.0197272
0.789866,-0.019586
0.789535,-0.0194443
0.789204,-0.0193021
0.788873,-0.0191596
0.788542,-0.0190166
0.788211,-0.0188733
0.78788,-0.0187295
0.787549,-0.0185852
0.787218,-0.0184406
0.786887,-0.0182955
0.786556,-0.0181501
0.786225,-0.0180042
0.785894,-0.0178578
0.785564,-0.0177111
0.785233,-0.0175639
0.784902,-0.0174164
0.784571,-0.0172684
0.78424,-0.01712
0.783909,-0.0169711
0.783578,-0.0168219
0.783247,-0.0166722
0.782916,-0.0165221
0.782586,-0.0163716
0.782255,-0.0162207
0.781924,-0.0160693
0.781593,-0.0159176
0.781262,-0.0157654
0.780931,-0.0156128
0.7806,-0.0154598
0.780269,-0.0153064
0.779938,-0.0151525
0.779608,-0.0149983
0.779277,-0.0148436
0.778946,-0.0146885
0.778615,-0.014533
0.778284,-0.0143771
0.777953,-0.0142207
0.777622,-0.014064
0.777291,-0.0139068
0.77696,-0.0137492
0.776629,-0.0135912
0.776299,-0.0134328
0.775968,-0.0132739
0.775637,-0.0131147
0.775306,-0.012955
0.774975,-0.012795
0.774644,-0.0126345
0.774313,-0.0124736
0.773982,-0.0123122
0.773651,-0.0121505
0.77332,-0.0119884
0.772989,-0.0118258
0.772658,-0.0116628
0.772327,-0.0114994
0.771996,-0.0113356
0.771665,-0.0111714
0.771334,-0.0110068
0.771003,-0.0108418
0.770671,-0.0106763
0.77034,-0.0105104
0.770009,-0.0103442
0.769678,-0.0101775
0.769347,-0.0100104
0.769016,-0.00984287
0.768685,-0.00967494
0.768353,-0.00950661
0.768022,-0.00933786
0.767691,-0.0091687
0.76736,-0.00899913
0.767028,-0.00882915
0.766697,-0.00865875
0.766366,-0.00848795
0.766035,-0.00831673
0.765703,-0.00814511
0.765372,-0.00797307
0.76504,-0.00780062
0.764709,-0.00762776
0.764378,-0.0074545
0.764046,-0.00728082
0.763715,-0.00710673
0.763383,-0.00693223
0.763052,-0.00675733
0.76272,-0.00658201
0.762389,-0.00640628
0.762057,-0.00623015
0.761725,-0.0060536
0.761394,-0.00587665
0.761062,-0.00569928
0.76073,-0.00552151
0.760399,-0.00534333
0.760067,-0.00516474
0.759735,-0.00498574
0.759403,-0.00480633
0.759072,-0.00462652
0.75874,-0.00444629
0.758408,-0.00426566
0.758076,-0.00408462
0.757744,-0.00390317
0.757412,-0.00372132
0.75708,-0.00353906
0.756748,-0.00335639
0.756416,-0.00317331
0.756084,-0.00298982
0.755752,-0.00280593
0.75542,-0.00262163
0.755087,-0.00243692
0.754755,-0.00225181
0.754423,-0.00206629
0.754091,-0.00188036
0.753758,-0.00169403
0.753426,-0.00150729
0.753094,-0.00132014
0.752761,-0.00113259
0.752429,-0.000944632
