u1,u2
0.994,0
0.993732,-0.00260898
0.993016,-0.0050023
0.991836,-0.00742339
0.99012,-0.00994895
0.987882,-0.0125058
0.985045,-0.0151426
0.981434,-0.0179455
0.97681,-0.0209791
0.970852,-0.0242903
0.963117,-0.0279
0.952991,-0.0317739
0.939605,-0.0357561
0.921703,-0.0394231
0.897437,-0.0417674
0.863991,-0.0404982
0.816807,-0.0304394
0.747271,0.000575347
0.632505,0.0847797
0.521646,0.183907
0.407058,0.280933
0.284633,0.365776
0.142774,0.437625
0.00383875,0.48449
-0.138241,0.514609
-0.286035,0.535296
-0.417242,0.554781
-0.5291,0.58478
-0.621128,0.637822
-0.6802,0.725599
-0.682044,0.850785
-0.603631,0.991221
-0.445705,1.10328
-0.241169,1.14225
-0.0666553,1.09084
0.0234941,0.979112
0.0212955,0.858419
-0.0461898,0.737606
-0.153175,0.617998
-0.264511,0.502628
-0.366388,0.38371
-0.462592,0.2426
-0.533424,0.105994
-0.589799,-0.0319478
-0.641361,-0.172267
-0.69446,-0.294697
-0.759781,-0.389814
-0.849556,-0.449551
-0.968045,-0.45239
-1.09882,-0.374945
-1.20437,-0.214679
-1.24579,0.00576131
-1.19523,0.239678
-1.06821,0.405666
-0.918343,0.464871
-0.797415,0.428841
-0.708501,0.32709
-0.642879,0.182359
-0.587998,0.0305837
-0.528839,-0.114806
-0.456811,-0.25248
-0.367623,-0.383303
-0.271433,-0.497244
-0.168024,-0.606125
-0.073525,-0.709547
-0.00615866,-0.807442
0.0249329,-0.908955
0.00183914,-1.01299
-0.092619,-1.10145
-0.253357,-1.14146
-0.446572,-1.10456
-0.616746,-0.983276
-0.696426,-0.821504
-0.669846,-0.67823
-0.575635,-0.595986
-0.440074,-0.553067
-0.287945,-0.531578
-0.136577,-0.511939
0.0104108,-0.481518
0.151312,-0.433923
0.287278,-0.365283
0.406643,-0.283902
0.520919,-0.189332
0.628285,-0.0956271
0.726784,-0.0221951
0.812582,0.0188938
0.86186,0.029872
0.894824,0.0315833
0.918829,0.0298553
0.936552,0.0268805
0.949795,0.0236282
0.959768,0.0205104
0.967324,0.0176793
0.973079,0.0151694
0.977477,0.0129643
0.980851,0.0110283
0.983443,0.00932056
0.985436,0.00780082
0.986968,0.00643134
0.988138,0.00517681
0.989019,0.00400369
0.989657,0.00288121
0.990076,0.00179067
0.99028,0.000747039
0.990287,-0.000235897
0.990109,-0.00120904
0.989779,-0.00209343
0.989287,-0.00297165
0.988608,-0.00386964
0.987747,-0.00476314
0.986692,-0.00565887
0.985394,-0.00658245
0.983787,-0.00755388
