u1,u2
0.879779,0
0.879774,-0.00484344
0.879757,-0.00967864
0.879727,-0.0144975
0.879683,-0.019292
0.879621,-0.0240549
0.879539,-0.028779
0.879432,-0.033458
0.879296,-0.0380859
0.879127,-0.0426575
0.87892,-0.0471679
0.878671,-0.051613
0.878374,-0.0559892
0.878027,-0.0602934
0.877624,-0.0645227
0.877161,-0.0686749
0.876635,-0.0727478
0.876042,-0.0767397
0.875379,-0.0806491
0.874644,-0.0844744
0.873832,-0.0882146
0.872944,-0.0918683
0.871975,-0.0954346
0.870925,-0.0989123
0.869792,-0.1023
0.868574,-0.105598
0.867272,-0.108804
0.865883,-0.111917
0.864406,-0.114937
0.862843,-0.117862
0.861191,-0.120691
0.859451,-0.123423
0.857622,-0.126056
0.855705,-0.12859
0.853699,-0.131024
0.851605,-0.133355
0.849423,-0.135583
0.847152,-0.137705
0.844795,-0.139722
0.842349,-0.14163
0.839818,-0.143429
0.837199,-0.145118
0.834495,-0.146694
0.831705,-0.148155
0.828831,-0.149501
0.825872,-0.15073
0.82283,-0.151839
0.819705,-0.152827
0.816496,-0.153693
0.813206,-0.154435
0.809835,-0.15505
0.806382,-0.155537
0.802849,-0.155895
0.799236,-0.15612
0.795544,-0.156212
0.791772,-0.156169
0.787922,-0.155988
0.783993,-0.155668
0.779987,-0.155207
0.775903,-0.154602
0.771741,-0.153853
0.767502,-0.152956
0.763185,-0.15191
0.758791,-0.150713
0.75432,-0.149362
0.749771,-0.147857
0.745144,-0.146194
0.740439,-0.144372
0.735655,-0.142388
0.730792,-0.140241
0.725849,-0.137928
0.720825,-0.135447
0.715719,-0.132797
0.71053,-0.129974
0.705257,-0.126978
0.699899,-0.123805
0.694453,-0.120453
0.688917,-0.116921
0.683291,-0.113206
0.677571,-0.109306
0.671755,-0.105219
0.665841,-0.100943
0.659824,-0.0964756
0.653703,-0.0918143
0.647473,-0.0869575
0.641131,-0.0819029
0.634672,-0.0766485
0.628091,-0.0711925
0.621384,-0.0655328
0.614546,-0.0596677
0.607569,-0.0535953
0.600449,-0.0473142
0.593178,-0.0408228
0.585748,-0.0341198
0.578153,-0.0272042
0.570382,-0.020075
0.562428,-0.0127316
0.55428,-0.00517373
0.545927,0.00259843
0.537359,0.0105844
0.528562,0.0187831
0.519524,0.0271929
0.51023,0.0358114
0.500665,0.0446355
0.490814,0.0536612
0.480658,0.0628832
0.47018,0.0722952
0.45936,0.0818894
0.448177,0.0916564
0.436609,0.101585
0.424634,0.111661
0.412226,0.121869
0.39936,0.132191
0.38601,0.142604
0.372148,0.153083
0.357748,0.163598
0.342779,0.174115
0.327216,0.184596
0.311031,0.194996
0.294198,0.205265
0.276694,0.215345
0.258501,0.225175
0.239604,0.234683
0.219994,0.243795
0.199672,0.252427
0.178648,0.260492
0.156944,0.267901
0.134593,0.274559
0.111645,0.280378
0.0881644,0.285269
0.0642305,0.289153
0.0399367,0.291963
0.0153886,0.293646
-0.00929928,0.294166
-0.0340068,0.293509
-0.0586129,0.291679
-0.0829998,0.288704
-0.107057,0.284628
-0.130685,0.279514
-0.153797,0.273435
-0.176321,0.266478
-0.198202,0.258731
-0.219398,0.250289
-0.239882,0.241246
-0.259639,0.23169
-0.278666,0.221709
-0.296968,0.211383
-0.314558,0.200785
-0.331455,0.189983
-0.34768,0.179038
-0.36326,0.168002
-0.378223,0.156925
-0.392596,0.145847
-0.40641,0.134804
-0.419692,0.123829
-0.432472,0.112947
-0.444778,0.102184
-0.456635,0.0915574
-0.468069,0.0810851
-0.479105,0.070781
-0.489766,0.0606569
-0.500072,0.0507224
-0.510045,0.0409856
-0.519703,0.0314529
-0.529064,0.0221293
-0.538145,0.0130188
-0.546962,0.0041243
-0.555528,-0.00455218
-0.563858,-0.0130093
-0.571964,-0.0212465
-0.579857,-0.0292636
-0.587547,-0.037061
-0.595046,-0.0446396
-0.602363,-0.0520005
-0.609505,-0.0591451
-0.61648,-0.0660752
-0.623297,-0.0727928
-0.629961,-0.0793
-0.636479,-0.085599
-0.642857,-0.0916924
-0.649099,-0.0975827
-0.655211,-0.103272
-0.661198,-0.108765
-0.667062,-0.114062
-0.672808,-0.119167
-0.67844,-0.124082
-0.68396,-0.128812
-0.689372,-0.133358
-0.694677,-0.137724
