u1,u2
0.879779,0
0.879774,-0.00484344
0.879757,-0.00967864
0.879727,-0.0144975
0.879683,-0.0192921
0.879621,-0.0240549
0.879539,-0.0287791
0.879432,-0.0334581
0.879296,-0.038086
0.879127,-0.0426575
0.87892,-0.0471678
0.878671,-0.0516129
0.878375,-0.0559891
0.878028,-0.0602931
0.877624,-0.0645224
0.877162,-0.0686744
0.876636,-0.0727473
0.876043,-0.0767391
0.87538,-0.0806484
0.874644,-0.0844737
0.873833,-0.0882137
0.872944,-0.0918674
0.871976,-0.0954336
0.870926,-0.0989113
0.869793,-0.102299
0.868575,-0.105597
0.867273,-0.108803
0.865883,-0.111916
0.864407,-0.114936
0.862844,-0.117861
0.861192,-0.120689
0.859452,-0.123421
0.857623,-0.126055
0.855706,-0.128589
0.8537,-0.131022
0.851606,-0.133353
0.849424,-0.135581
0.847154,-0.137704
0.844796,-0.13972
0.842351,-0.141628
0.839819,-0.143428
0.837201,-0.145116
0.834497,-0.146692
0.831707,-0.148153
0.828833,-0.149499
0.825875,-0.150728
0.822832,-0.151837
0.819707,-0.152825
0.816499,-0.153691
0.813209,-0.154433
0.809837,-0.155048
0.806385,-0.155535
0.802852,-0.155892
0.799239,-0.156118
0.795546,-0.15621
0.791775,-0.156167
0.787925,-0.155986
0.783997,-0.155666
0.77999,-0.155205
0.775906,-0.1546
0.771744,-0.153851
0.767505,-0.152954
0.763189,-0.151908
0.758795,-0.150711
0.754324,-0.14936
0.749775,-0.147855
0.745149,-0.146192
0.740444,-0.14437
0.73566,-0.142386
0.730797,-0.140239
0.725854,-0.137926
0.72083,-0.135445
0.715725,-0.132795
0.710536,-0.129973
0.705263,-0.126976
0.699905,-0.123803
0.694459,-0.120452
0.688924,-0.11692
0.683297,-0.113205
0.677578,-0.109305
0.671762,-0.105219
0.665848,-0.100942
0.659831,-0.0964749
0.65371,-0.0918138
0.647481,-0.0869571
0.641139,-0.0819026
0.63468,-0.0766485
0.628099,-0.0711926
0.621393,-0.0655331
0.614554,-0.0596681
0.607578,-0.053596
0.600458,-0.0473151
0.593187,-0.0408239
0.585758,-0.0341211
0.578163,-0.0272057
0.570393,-0.0200767
0.562439,-0.0127336
0.554291,-0.00517604
0.545939,0.00259584
0.53737,0.0105815
0.528574,0.0187799
0.519536,0.0271894
0.510242,0.0358075
0.500678,0.0446313
0.490827,0.0536566
0.480672,0.0628782
0.470194,0.0722898
0.459375,0.0818836
0.448193,0.0916501
0.436626,0.101578
0.424651,0.111654
0.412243,0.121862
0.399378,0.132183
0.386029,0.142595
0.372169,0.153073
0.357769,0.163588
0.342802,0.174105
0.32724,0.184586
0.311056,0.194986
0.294225,0.205254
0.276723,0.215334
0.258532,0.225164
0.239637,0.234673
0.22003,0.243785
0.199711,0.252418
0.178689,0.260485
0.156987,0.267896
0.134639,0.274558
0.111693,0.28038
0.0882138,0.285275
0.0642807,0.289164
0.0399869,0.291979
0.0154378,0.293667
-0.0092518,0.294192
-0.0339618,0.29354
-0.0585708,0.291715
-0.0829607,0.288743
-0.107021,0.28467
-0.130651,0.279558
-0.153765,0.273482
-0.176292,0.266527
-0.198174,0.258783
-0.21937,0.250344
-0.239855,0.241304
-0.259613,0.231753
-0.278641,0.221776
-0.296944,0.211454
-0.314535,0.200861
-0.331433,0.190065
-0.34766,0.179125
-0.363242,0.168095
-0.378207,0.157023
-0.392582,0.14595
-0.406399,0.134912
-0.419684,0.123942
-0.432467,0.113066
-0.444775,0.102307
-0.456635,0.0916858
-0.468073,0.0812182
-0.479112,0.0709187
-0.489775,0.060799
-0.500085,0.0508689
-0.510061,0.0411364
-0.519722,0.0316078
-0.529087,0.0222882
-0.538171,0.0131817
-0.546991,0.00429103
-0.55556,-0.00438166
-0.563893,-0.0128351
-0.572002,-0.0210686
-0.579898,-0.0290822
-0.587592,-0.0368761
-0.595093,-0.0444513
-0.602413,-0.0518087
-0.609557,-0.0589501
-0.616536,-0.0658769
-0.623355,-0.0725913
-0.630022,-0.0790953
-0.636543,-0.0853912
-0.642923,-0.0914815
-0.649168,-0.0973688
-0.655283,-0.103056
-0.661272,-0.108545
-0.667139,-0.113839
-0.672887,-0.118941
-0.678521,-0.123854
-0.684044,-0.128581
-0.689458,-0.133124
-0.694765,-0.137487
