u1,u2
0.879779,0
0.879776,-0.00379611
0.879642,-0.0226396
0.877456,-0.0661103
0.86749,-0.108291
0.826517,-0.150476
0.747851,-0.147179
0.65475,-0.0926121
0.561059,-0.0114527
0.467203,0.0749606
0.370628,0.154223
0.269227,0.219472
0.161947,0.266292
0.049386,0.291033
-0.0717684,0.290259
-0.180769,0.26503
-0.28287,0.21946
-0.381873,0.15424
-0.470352,0.0790985
-0.548634,0.00260889
-0.62186,-0.07116
-0.692286,-0.13551
-0.759179,-0.18153
-0.815804,-0.199837
-0.843287,-0.186248
-0.804205,-0.159717
-0.720497,-0.161936
-0.612596,-0.190241
-0.494424,-0.231654
-0.37433,-0.271589
-0.255196,-0.300434
-0.137842,-0.312634
-0.0232454,-0.304508
0.0858161,-0.273686
0.187995,-0.218144
0.270842,-0.146897
0.34123,-0.059413
0.400613,0.0427292
0.446953,0.146041
0.485969,0.246437
0.523422,0.340921
0.563623,0.422916
0.608064,0.482541
0.650206,0.50707
0.663612,0.484975
0.621993,0.446084
0.533368,0.4134
0.420111,0.393881
0.299825,0.38005
0.183328,0.363392
0.0746841,0.338109
-0.0240372,0.300853
-0.1112,0.249685
-0.184514,0.18398
-0.243939,0.100202
-0.280708,0.0127979
-0.300382,-0.0805159
-0.304882,-0.182402
-0.296045,-0.286212
-0.278738,-0.387062
-0.257898,-0.485937
-0.239302,-0.581783
-0.229983,-0.670784
-0.236839,-0.744975
-0.26202,-0.789738
-0.291153,-0.780432
-0.282949,-0.723067
-0.231027,-0.64516
-0.150561,-0.564491
-0.0610526,-0.485314
0.0236552,-0.406833
0.097231,-0.326484
0.156354,-0.242606
0.198798,-0.154466
0.222525,-0.0626104
0.225504,0.0373027
0.207984,0.127135
0.17371,0.211225
0.122595,0.293561
0.0580919,0.371252
-0.0130286,0.441818
-0.0874869,0.508419
-0.160873,0.573741
-0.22623,0.639379
-0.274058,0.704621
-0.293513,0.762819
-0.277339,0.794089
-0.24155,0.758864
-0.230137,0.674941
-0.242289,0.565364
-0.266351,0.447176
-0.289356,0.330487
-0.303216,0.218233
-0.303436,0.111276
-0.287314,0.0105124
-0.253185,-0.0824476
-0.196079,-0.17062
-0.127307,-0.237494
-0.0479282,-0.288895
0.0445233,-0.32845
0.145433,-0.355912
0.246732,-0.373237
0.347515,-0.385313
0.445709,-0.397107
0.536442,-0.413905
0.611501,-0.440145
0.658359,-0.475482
0.659793,-0.505221
0.615379,-0.488659
0.562622,-0.420448
0.514283,-0.318181
0.468774,-0.200675
0.420505,-0.0839357
0.364151,0.0239371
0.296015,0.119215
0.213958,0.198926
0.10804,0.26418
0.000585778,0.299965
-0.107785,0.312661
-0.221589,0.305822
-0.336758,0.282172
-0.443213,0.249516
-0.543391,0.214055
-0.6381,0.182065
-0.72475,0.161047
-0.796418,0.158216
-0.839212,0.175741
-0.8282,0.198581
-0.768833,0.185856
-0.688625,0.131976
-0.601742,0.0507136
-0.511925,-0.0396576
-0.419038,-0.124759
-0.32121,-0.19688
-0.217038,-0.251479
-0.106495,-0.284898
0.0162263,-0.293732
0.127754,-0.276497
0.232137,-0.238314
0.334235,-0.179968
0.427681,-0.109112
0.510204,-0.0357663
0.587537,0.0358872
0.663326,0.0993201
0.739423,0.144254
0.812448,0.15488
0.861747,0.119739
0.87731,0.0638265
0.878996,0.00954511
0.878939,0.00101878
