u1,u2
0.879779,0
0.879779,-0.000726719
0.879779,-0.00145341
0.879778,-0.00218005
0.879777,-0.0029066
0.879776,-0.00363304
0.879775,-0.00435934
0.879773,-0.00508547
0.879771,-0.00581141
0.879769,-0.00653712
0.879767,-0.00726258
0.879764,-0.00798777
0.879761,-0.00871265
0.879758,-0.0094372
0.879754,-0.0101614
0.879751,-0.0108852
0.879747,-0.0116086
0.879742,-0.0123315
0.879738,-0.013054
0.879733,-0.013776
0.879727,-0.0144975
0.879722,-0.0152184
0.879716,-0.0159387
0.879709,-0.0166585
0.879703,-0.0173776
0.879696,-0.0180961
0.879688,-0.0188139
0.87968,-0.019531
0.879672,-0.0202474
0.879664,-0.020963
0.879654,-0.0216779
0.879645,-0.022392
0.879635,-0.0231052
0.879625,-0.0238177
0.879614,-0.0245292
0.879603,-0.0252399
0.879591,-0.0259496
0.879579,-0.0266585
0.879566,-0.0273663
0.879553,-0.0280732
0.879539,-0.0287791
0.879524,-0.029484
0.879509,-0.0301878
0.879494,-0.0308906
0.879478,-0.0315923
0.879461,-0.0322929
0.879444,-0.0329924
0.879426,-0.0336908
0.879407,-0.0343879
0.879388,-0.035084
0.879368,-0.0357788
0.879347,-0.0364724
0.879326,-0.0371648
0.879304,-0.0378559
0.879281,-0.0385458
0.879257,-0.0392344
0.879233,-0.0399216
0.879207,-0.0406076
0.879181,-0.0412923
0.879155,-0.0419756
0.879127,-0.0426575
0.879099,-0.043338
0.879069,-0.0440172
0.879039,-0.044695
0.879008,-0.0453713
0.878976,-0.0460462
0.878943,-0.0467197
0.878909,-0.0473917
0.878874,-0.0480622
0.878838,-0.0487312
0.878801,-0.0493988
0.878763,-0.0500648
0.878725,-0.0507293
0.878685,-0.0513923
0.878644,-0.0520537
0.878602,-0.0527136
0.878559,-0.0533718
0.878514,-0.0540285
0.878469,-0.0546837
0.878423,-0.0553372
0.878375,-0.0559891
0.878326,-0.0566393
0.878276,-0.057288
0.878225,-0.057935
0.878173,-0.0585803
0.878119,-0.059224
0.878065,-0.0598661
0.878009,-0.0605064
0.877951,-0.0611451
0.877893,-0.061782
0.877833,-0.0624173
0.877772,-0.0630508
0.87771,-0.0636826
0.877646,-0.0643127
0.877581,-0.0649411
0.877514,-0.0655677
0.877447,-0.0661926
0.877378,-0.0668157
0.877307,-0.0674371
0.877235,-0.0680566
0.877162,-0.0686745
0.877087,-0.0692905
0.877011,-0.0699047
0.876933,-0.0705172
0.876854,-0.0711278
0.876773,-0.0717366
0.876691,-0.0723436
0.876608,-0.0729488
0.876523,-0.0735522
0.876436,-0.0741537
0.876348,-0.0747535
0.876258,-0.0753513
0.876167,-0.0759473
0.876074,-0.0765415
0.87598,-0.0771338
0.875884,-0.0777243
0.875786,-0.0783128
0.875687,-0.0788996
0.875586,-0.0794844
0.875484,-0.0800673
0.87538,-0.0806484
0.875274,-0.0812276
0.875167,-0.0818049
0.875058,-0.0823803
0.874947,-0.0829538
0.874835,-0.0835253
0.874721,-0.084095
0.874605,-0.0846628
0.874488,-0.0852286
0.874369,-0.0857925
0.874248,-0.0863545
0.874126,-0.0869145
0.874001,-0.0874727
