u1,u2
0.879779,0
0.879779,-0.000302802
0.879779,-0.000605603
0.879779,-0.000908403
0.879779,-0.0012112
0.879779,-0.00151399
0.879779,-0.00181677
0.879778,-0.00211954
0.879778,-0.0024223
0.879778,-0.00272504
0.879777,-0.00302777
0.879777,-0.00333048
0.879776,-0.00363317
0.879776,-0.00393584
0.879775,-0.00423849
0.879775,-0.0045411
0.879774,-0.00484369
0.879773,-0.00514625
0.879773,-0.00544878
0.879772,-0.00575127
0.879771,-0.00605373
0.87977,-0.00635615
0.879769,-0.00665852
0.879768,-0.00696086
0.879767,-0.00726315
0.879766,-0.00756539
0.879765,-0.00786759
0.879764,-0.00816974
0.879763,-0.00847183
0.879762,-0.00877387
0.87976,-0.00907585
0.879759,-0.00937778
0.879758,-0.00967965
0.879756,-0.00998145
0.879755,-0.0102832
0.879753,-0.0105849
0.879752,-0.0108865
0.87975,-0.011188
0.879748,-0.0114895
0.879746,-0.0117909
0.879745,-0.0120922
0.879743,-0.0123934
0.879741,-0.0126946
0.879739,-0.0129956
0.879737,-0.0132966
0.879735,-0.0135975
0.879733,-0.0138984
0.879731,-0.0141991
0.879728,-0.0144997
0.879726,-0.0148003
0.879724,-0.0151007
0.879721,-0.0154011
0.879719,-0.0157013
0.879716,-0.0160015
0.879714,-0.0163015
0.879711,-0.0166015
0.879709,-0.0169013
0.879706,-0.0172011
0.879703,-0.0175007
0.8797,-0.0178002
0.879697,-0.0180996
0.879694,-0.0183989
0.879691,-0.0186981
0.879688,-0.0189971
0.879685,-0.0192961
0.879682,-0.0195949
0.879678,-0.0198936
0.879675,-0.0201921
0.879671,-0.0204905
0.879668,-0.0207888
0.879664,-0.021087
0.87966,-0.0213851
0.879657,-0.021683
0.879653,-0.0219807
0.879649,-0.0222784
0.879645,-0.0225758
0.879641,-0.0228732
0.879637,-0.0231704
0.879633,-0.0234675
0.879628,-0.0237644
0.879624,-0.0240611
0.879619,-0.0243578
0.879615,-0.0246542
0.87961,-0.0249505
0.879606,-0.0252467
0.879601,-0.0255427
0.879596,-0.0258385
0.879591,-0.0261342
0.879586,-0.0264297
0.879581,-0.0267251
0.879576,-0.0270203
0.87957,-0.0273153
0.879565,-0.0276102
0.879559,-0.0279049
0.879554,-0.0281994
0.879548,-0.0284938
0.879542,-0.0287879
0.879537,-0.0290819
0.879531,-0.0293758
0.879525,-0.0296694
0.879518,-0.0299629
0.879512,-0.0302562
0.879506,-0.0305493
0.879499,-0.0308422
0.879493,-0.0311349
0.879486,-0.0314274
0.879479,-0.0317198
0.879473,-0.032012
0.879466,-0.0323039
0.879459,-0.0325957
0.879451,-0.0328873
0.879444,-0.0331787
0.879437,-0.0334699
0.879429,-0.0337609
0.879421,-0.0340517
0.879414,-0.0343423
0.879406,-0.0346327
0.879398,-0.0349229
0.87939,-0.0352129
0.879382,-0.0355026
0.879373,-0.0357922
0.879365,-0.0360816
0.879356,-0.0363707
0.879348,-0.0366597
0.879339,-0.0369484
0.87933,-0.0372369
0.879321,-0.0375252
0.879312,-0.0378133
0.879302,-0.0381011
0.879293,-0.0383888
0.879283,-0.0386762
0.879274,-0.0389634
0.879264,-0.0392504
0.879254,-0.0395371
0.879244,-0.0398237
0.879233,-0.04011
0.879223,-0.040396
0.879213,-0.0406819
0.879202,-0.0409675
0.879191,-0.0412529
0.87918,-0.041538
0.879169,-0.0418229
0.879158,-0.0421076
0.879146,-0.0423921
0.879135,-0.0426763
0.879123,-0.0429602
0.879112,-0.043244
0.8791,-0.0435275
0.879087,-0.0438107
0.879075,-0.0440937
0.879063,-0.0443765
0.87905,-0.044659
0.879038,-0.0449413
0.879025,-0.0452233
0.879012,-0.0455051
0.878998,-0.0457866
0.878985,-0.0460679
0.878972,-0.0463489
0.878958,-0.0466297
0.878944,-0.0469103
0.87893,-0.0471905
0.878916,-0.0474706
0.878902,-0.0477503
0.878887,-0.0480298
0.878872,-0.0483091
0.878858,-0.0485881
0.878843,-0.0488668
0.878827,-0.0491453
0.878812,-0.0494235
0.878797,-0.0497015
