u1,u2
0.879779,0
0.879779,-0.000145345
0.879779,-0.000290689
0.879779,-0.000436033
0.879779,-0.000581377
0.879779,-0.000726719
0.879779,-0.00087206
0.879779,-0.0010174
0.879779,-0.00116274
0.879779,-0.00130808
0.879779,-0.00145341
0.879779,-0.00159874
0.879779,-0.00174407
0.879778,-0.0018894
0.879778,-0.00203472
0.879778,-0.00218004
0.879778,-0.00232536
0.879778,-0.00247068
0.879778,-0.00261599
0.879777,-0.00276129
0.879777,-0.0029066
0.879777,-0.00305189
0.879777,-0.00319719
0.879777,-0.00334247
0.879776,-0.00348776
0.879776,-0.00363303
0.879776,-0.00377831
0.879776,-0.00392357
0.879775,-0.00406883
0.879775,-0.00421409
0.879775,-0.00435933
0.879774,-0.00450457
0.879774,-0.00464981
0.879774,-0.00479503
0.879773,-0.00494025
0.879773,-0.00508546
0.879773,-0.00523067
0.879772,-0.00537586
0.879772,-0.00552105
0.879772,-0.00566623
0.879771,-0.0058114
0.879771,-0.00595656
0.87977,-0.00610171
0.87977,-0.00624686
0.87977,-0.00639199
0.879769,-0.00653711
0.879769,-0.00668223
0.879768,-0.00682733
0.879768,-0.00697242
0.879767,-0.0071175
0.879767,-0.00726257
0.879766,-0.00740763
0.879766,-0.00755268
0.879765,-0.00769772
0.879765,-0.00784274
0.879764,-0.00798776
0.879764,-0.00813276
0.879763,-0.00827775
0.879762,-0.00842272
0.879762,-0.00856769
0.879761,-0.00871264
0.879761,-0.00885757
0.87976,-0.0090025
0.879759,-0.0091474
0.879759,-0.0092923
0.879758,-0.00943718
0.879757,-0.00958205
0.879757,-0.0097269
0.879756,-0.00987174
0.879755,-0.0100166
0.879754,-0.0101614
0.879754,-0.0103062
0.879753,-0.0104509
0.879752,-0.0105957
0.879751,-0.0107404
0.879751,-0.0108852
0.87975,-0.0110299
0.879749,-0.0111746
0.879748,-0.0113192
0.879747,-0.0114639
0.879747,-0.0116085
0.879746,-0.0117532
0.879745,-0.0118978
0.879744,-0.0120424
0.879743,-0.0121869
0.879742,-0.0123315
0.879741,-0.012476
0.87974,-0.0126205
0.879739,-0.012765
0.879738,-0.0129095
0.879738,-0.013054
0.879737,-0.0131984
0.879736,-0.0133428
0.879735,-0.0134872
0.879734,-0.0136316
0.879733,-0.013776
0.879731,-0.0139203
0.87973,-0.0140646
0.879729,-0.0142089
0.879728,-0.0143532
0.879727,-0.0144974
0.879726,-0.0146416
0.879725,-0.0147858
0.879724,-0.01493
0.879723,-0.0150742
0.879722,-0.0152183
0.87972,-0.0153624
0.879719,-0.0155065
0.879718,-0.0156506
0.879717,-0.0157947
0.879716,-0.0159387
0.879714,-0.0160827
0.879713,-0.0162266
0.879712,-0.0163706
0.879711,-0.0165145
0.879709,-0.0166584
0.879708,-0.0168023
0.879707,-0.0169461
0.879705,-0.01709
0.879704,-0.0172338
0.879703,-0.0173775
0.879701,-0.0175213
0.8797,-0.017665
0.879698,-0.0178087
0.879697,-0.0179524
0.879696,-0.018096
0.879694,-0.0182396
0.879693,-0.0183832
0.879691,-0.0185268
0.87969,-0.0186703
0.879688,-0.0188138
0.879687,-0.0189573
0.879685,-0.0191008
0.879683,-0.0192442
0.879682,-0.0193876
0.87968,-0.0195309
0.879679,-0.0196743
0.879677,-0.0198176
0.879675,-0.0199608
0.879674,-0.0201041
0.879672,-0.0202473
0.87967,-0.0203905
0.879669,-0.0205337
0.879667,-0.0206768
0.879665,-0.0208199
0.879663,-0.0209629
0.879662,-0.021106
0.87966,-0.021249
0.879658,-0.021392
0.879656,-0.0215349
0.879654,-0.0216778
0.879653,-0.0218207
0.879651,-0.0219635
0.879649,-0.0221064
0.879647,-0.0222491
0.879645,-0.0223919
0.879643,-0.0225346
0.879641,-0.0226773
0.879639,-0.0228199
0.879637,-0.0229626
0.879635,-0.0231051
0.879633,-0.0232477
0.879631,-0.0233902
0.879629,-0.0235327
0.879627,-0.0236751
0.879625,-0.0238175
0.879623,-0.0239599
0.87962,-0.0241023
0.879618,-0.0242446
0.879616,-0.0243869
0.879614,-0.0245291
0.879612,-0.0246713
0.87961,-0.0248135
0.879607,-0.0249556
0.879605,-0.0250977
0.879603,-0.0252398
0.8796,-0.0253818
0.879598,-0.0255238
0.879596,-0.0256657
0.879593,-0.0258076
0.879591,-0.0259495
0.879589,-0.0260913
0.879586,-0.0262331
0.879584,-0.0263749
0.879581,-0.0265166
0.879579,-0.0266583
0.879576,-0.0268
0.879574,-0.0269416
0.879571,-0.0270831
0.879568,-0.0272247
0.879566,-0.0273662
0.879563,-0.0275076
0.879561,-0.0276491
0.879558,-0.0277904
0.879555,-0.0279318
0.879553,-0.0280731
0.87955,-0.0282143
0.879547,-0.0283555
0.879544,-0.0284967
0.879542,-0.0286379
0.879539,-0.028779
0.879536,-0.02892
0.879533,-0.029061
0.87953,-0.029202
0.879527,-0.0293429
0.879524,-0.0294838
0.879521,-0.0296247
0.879518,-0.0297655
0.879515,-0.0299063
0.879512,-0.030047
0.879509,-0.0301877
0.879506,-0.0303283
0.879503,-0.0304689
0.8795,-0.0306095
0.879497,-0.03075
0.879494,-0.0308904
0.879491,-0.0310309
0.879487,-0.0311712
0.879484,-0.0313116
0.879481,-0.0314519
0.879478,-0.0315921
0.879474,-0.0317323
0.879471,-0.0318725
0.879468,-0.0320126
0.879464,-0.0321527
0.879461,-0.0322927
0.879458,-0.0324327
0.879454,-0.0325726
0.879451,-0.0327125
0.879447,-0.0328524
0.879444,-0.0329922
0.87944,-0.033132
0.879437,-0.0332717
0.879433,-0.0334113
0.879429,-0.033551
0.879426,-0.0336905
0.879422,-0.0338301
0.879418,-0.0339695
0.879415,-0.034109
0.879411,-0.0342484
0.879407,-0.0343877
0.879403,-0.034527
0.879399,-0.0346663
0.879395,-0.0348055
0.879392,-0.0349446
0.879388,-0.0350837
0.879384,-0.0352228
0.87938,-0.0353618
0.879376,-0.0355008
0.879372,-0.0356397
0.879368,-0.0357785
0.879364,-0.0359174
0.879359,-0.0360561
0.879355,-0.0361948
0.879351,-0.0363335
0.879347,-0.0364721
0.879343,-0.0366107
0.879339,-0.0367492
0.879334,-0.0368877
0.87933,-0.0370261
0.879326,-0.0371645
0.879321,-0.0373028
0.879317,-0.0374411
0.879312,-0.0375793
0.879308,-0.0377175
0.879303,-0.0378556
0.879299,-0.0379937
0.879294,-0.0381317
0.87929,-0.0382697
0.879285,-0.0384076
0.879281,-0.0385455
0.879276,-0.0386833
0.879271,-0.0388211
0.879266,-0.0389588
0.879262,-0.0390964
0.879257,-0.0392341
0.879252,-0.0393716
0.879247,-0.0395091
0.879242,-0.0396466
0.879237,-0.039784
0.879233,-0.0399213
0.879228,-0.0400586
0.879223,-0.0401959
0.879218,-0.0403331
0.879212,-0.0404702
0.879207,-0.0406073
0.879202,-0.0407443
0.879197,-0.0408813
0.879192,-0.0410182
0.879187,-0.0411551
0.879181,-0.0412919
0.879176,-0.0414287
0.879171,-0.0415654
0.879165,-0.0417021
0.87916,-0.0418387
0.879155,-0.0419752
0.879149,-0.0421117
0.879144,-0.0422481
0.879138,-0.0423845
0.879132,-0.0425209
0.879127,-0.0426571
0.879121,-0.0427934
0.879116,-0.0429295
0.87911,-0.0430656
0.879104,-0.0432017
0.879098,-0.0433377
0.879093,-0.0434736
0.879087,-0.0436095
0.879081,-0.0437453
0.879075,-0.0438811
0.879069,-0.0440168
0.879063,-0.0441525
0.879057,-0.0442881
0.879051,-0.0444237
0.879045,-0.0445592
0.879039,-0.0446946
0.879033,-0.04483
0.879026,-0.0449653
0.87902,-0.0451006
0.879014,-0.0452358
0.879008,-0.0453709
0.879001,-0.045506
0.878995,-0.0456411
0.878989,-0.045776
0.878982,-0.045911
0.878976,-0.0460458
0.878969,-0.0461806
0.878963,-0.0463154
0.878956,-0.0464501
0.878949,-0.0465847
0.878943,-0.0467193
0.878936,-0.0468538
0.878929,-0.0469882
0.878922,-0.0471226
0.878916,-0.047257
0.878909,-0.0473913
0.878902,-0.0475255
0.878895,-0.0476596
0.878888,-0.0477937
0.878881,-0.0479278
0.878874,-0.0480618
0.878867,-0.0481957
0.87886,-0.0483296
0.878852,-0.0484634
0.878845,-0.0485971
0.878838,-0.0487308
0.878831,-0.0488644
0.878823,-0.048998
0.878816,-0.0491315
0.878809,-0.0492649
0.878801,-0.0493983
0.878794,-0.0495316
0.878786,-0.0496649
0.878778,-0.0497981
0.878771,-0.0499313
0.878763,-0.0500643
0.878756,-0.0501974
0.878748,-0.0503303
0.87874,-0.0504632
0.878732,-0.0505961
0.878724,-0.0507288
0.878716,-0.0508615
0.878709,-0.0509942
0.878701,-0.0511268
0.878692,-0.0512593
0.878684,-0.0513918
0.878676,-0.0515242
0.878668,-0.0516565
0.87866,-0.0517888
0.878652,-0.051921
0.878643,-0.0520532
0.878635,-0.0521853
0.878627,-0.0523173
0.878618,-0.0524493
0.87861,-0.0525812
0.878601,-0.052713
0.878593,-0.0528448
0.878584,-0.0529765
0.878576,-0.0531082
0.878567,-0.0532398
0.878558,-0.0533713
0.87855,-0.0535028
0.878541,-0.0536342
0.878532,-0.0537655
0.878523,-0.0538968
0.878514,-0.054028
0.878505,-0.0541591
0.878496,-0.0542902
0.878487,-0.0544213
0.878478,-0.0545522
0.878469,-0.0546831
0.87846,-0.0548139
0.87845,-0.0549447
0.878441,-0.0550754
0.878432,-0.055206
0.878422,-0.0553366
0.878413,-0.0554671
0.878403,-0.0555976
0.878394,-0.0557279
0.878384,-0.0558582
0.878375,-0.0559885
0.878365,-0.0561187
0.878355,-0.0562488
0.878346,-0.0563788
0.878336,-0.0565088
0.878326,-0.0566388
0.878316,-0.0567686
0.878306,-0.0568984
0.878296,-0.0570281
0.878286,-0.0571578
0.878276,-0.0572874
0.878266,-0.0574169
0.878256,-0.0575464
0.878246,-0.0576758
0.878235,-0.0578051
0.878225,-0.0579344
0.878215,-0.0580636
0.878204,-0.0581927
0.878194,-0.0583218
0.878183,-0.0584508
0.878173,-0.0585797
0.878162,-0.0587086
0.878151,-0.0588374
0.878141,-0.0589661
0.87813,-0.0590948
0.878119,-0.0592234
0.878108,-0.0593519
0.878097,-0.0594804
0.878086,-0.0596088
0.878075,-0.0597371
0.878064,-0.0598654
0.878053,-0.0599936
0.878042,-0.0601217
0.878031,-0.0602498
0.87802,-0.0603778
0.878008,-0.0605057
0.877997,-0.0606336
0.877986,-0.0607614
0.877974,-0.0608891
0.877963,-0.0610168
0.877951,-0.0611444
0.87794,-0.0612719
0.877928,-0.0613994
0.877916,-0.0615267
0.877904,-0.0616541
0.877893,-0.0617813
0.877881,-0.0619085
0.877869,-0.0620356
0.877857,-0.0621627
0.877845,-0.0622896
0.877833,-0.0624166
0.877821,-0.0625434
0.877809,-0.0626702
0.877796,-0.0627969
0.877784,-0.0629235
0.877772,-0.0630501
0.877759,-0.0631766
0.877747,-0.063303
0.877734,-0.0634294
0.877722,-0.0635557
0.877709,-0.0636819
0.877697,-0.0638081
0.877684,-0.0639341
0.877671,-0.0640602
0.877658,-0.0641861
0.877646,-0.064312
0.877633,-0.0644378
