Method,p,N,Error
AdamsBashforth,1,100000,0.861605
AdamsBashforth,1,200000,0.829432
AdamsBashforth,1,400000,0.809327
AdamsBashforth,2,100000,0.947525
AdamsBashforth,2,200000,0.783782
AdamsBashforth,2,400000,0.553922
AdamsBashforth,3,100000,0.15413
AdamsBashforth,3,200000,0.0243068
AdamsBashforth,3,400000,0.00338608
AdamsBashforth,4,100000,0.10489
AdamsBashforth,4,200000,0.00764457
AdamsBashforth,4,400000,0.000496384
AdamsMoulton,2,100000,0.58192
AdamsMoulton,2,200000,0.309128
AdamsMoulton,2,400000,0.0995273
AdamsMoulton,3,100000,0.018525
AdamsMoulton,3,200000,0.00283617
AdamsMoulton,3,400000,0.00038669
AdamsMoulton,4,100000,0.00908323
AdamsMoulton,4,200000,0.000594864
AdamsMoulton,4,400000,3.79849e-05
AdamsMoulton,5,100000,0.000290834
AdamsMoulton,5,200000,4.40455e-06
AdamsMoulton,5,400000,5.44587e-08
BDF,1,100000,0.952374
BDF,1,200000,0.966032
BDF,1,400000,0.943053
BDF,2,100000,0.735349
BDF,2,200000,0.577285
BDF,2,400000,0.306164
BDF,3,100000,0.0658135
BDF,3,200000,0.0140656
BDF,3,400000,0.0021358
BDF,4,100000,0.0651907
BDF,4,200000,0.00436172
BDF,4,400000,0.000283366
